Country Code,ISO3,Country Name eng,Country Name fr,Unnamed: 4,Region,Income_Group
93.0,HTI,Haiti,Haïti,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
97.0,HUN,Hungary,Hongrie,,,Revenu élevé
,IBD,,BIRD seulement,,,Agrégats
,IBT,,BIRD et IDA,,,Agrégats
,IDA,,IDA totale,,,Agrégats
,IDB,,IDA mélange,,,Agrégats
101.0,IDN,Indonesia,Indonésie,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,IDX,,IDA seulement,,,Agrégats
264.0,IMN,Isle of Man,Île de Man,,,Revenu élevé
100.0,IND,India,Inde,,Asie du Sud,"Revenu intermédiaire, tranche inférieure"
,INX,,Non classifié,,,Agrégats
104.0,IRL,Ireland,Irlande,,,Revenu élevé
102.0,IRN,Iran (Islamic Republic of),"Iran, République islamique d’",,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
103.0,IRQ,Iraq,Iraq,,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
99.0,ISL,Iceland,Islande,,,Revenu élevé
105.0,ISR,Israel,Israël,,,Revenu élevé
106.0,ITA,Italy,Italie,,,Revenu élevé
109.0,JAM,Jamaica,Jamaïque,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
112.0,JOR,Jordan,Jordanie,,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
110.0,JPN,Japan,Japon,,,Revenu élevé
108.0,KAZ,Kazakhstan,Kazakhstan,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
114.0,KEN,Kenya,Kenya,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
113.0,KGZ,Kyrgyzstan,République kirghize,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
115.0,KHM,Cambodia,Cambodge,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
83.0,KIR,Kiribati,Kiribati,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
188.0,KNA,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,,,Revenu élevé
117.0,KOR,Republic of Korea,"Corée, République de",,,Revenu élevé
118.0,KWT,Kuwait,Koweït,,,Revenu élevé
,LAC,,Amérique latine et Caraïbes (hors revenu élevé),,,Agrégats
120.0,LAO,Lao People's Democratic Republic,République démocratique populaire lao,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
